iter133000 - BLEU = 2.05, 42.9/11.0/3.6/1.2 (BP=0.304, ratio=0.457, hyp_len=30913, ref_len=67703)
iter134000 - BLEU = 2.20, 41.3/10.4/3.4/1.2 (BP=0.341, ratio=0.482, hyp_len=32605, ref_len=67703)
iter135000 - BLEU = 2.23, 41.7/10.8/3.6/1.3 (BP=0.328, ratio=0.473, hyp_len=32011, ref_len=67703)
iter136000 - BLEU = 1.94, 39.0/9.7/3.1/1.1 (BP=0.322, ratio=0.469, hyp_len=31759, ref_len=67703)
iter137000 - BLEU = 2.29, 40.7/10.3/3.3/1.2 (BP=0.362, ratio=0.496, hyp_len=33586, ref_len=67703)
iter138000 - BLEU = 2.54, 39.9/10.1/3.3/1.2 (BP=0.402, ratio=0.523, hyp_len=35409, ref_len=67703)
iter139000 - BLEU = 2.17, 42.1/10.8/3.5/1.3 (BP=0.319, ratio=0.467, hyp_len=31610, ref_len=67703)
iter140000 - BLEU = 2.17, 42.2/10.9/3.7/1.3 (BP=0.316, ratio=0.465, hyp_len=31462, ref_len=67703)
iter141000 - BLEU = 2.19, 42.0/10.6/3.4/1.2 (BP=0.335, ratio=0.478, hyp_len=32354, ref_len=67703)
iter142000 - BLEU = 2.09, 41.1/10.5/3.3/1.2 (BP=0.322, ratio=0.469, hyp_len=31732, ref_len=67703)
iter143000 - BLEU = 2.10, 41.2/10.6/3.4/1.1 (BP=0.327, ratio=0.472, hyp_len=31967, ref_len=67703)
iter144000 - BLEU = 2.12, 40.6/10.2/3.3/1.1 (BP=0.338, ratio=0.480, hyp_len=32469, ref_len=67703)
iter145000 - BLEU = 2.21, 41.3/10.5/3.3/1.1 (BP=0.353, ratio=0.490, hyp_len=33167, ref_len=67703)
iter146000 - BLEU = 2.37, 42.1/10.6/3.4/1.2 (BP=0.361, ratio=0.496, hyp_len=33550, ref_len=67703)
iter147000 - BLEU = 2.04, 40.9/10.1/3.2/1.1 (BP=0.332, ratio=0.475, hyp_len=32178, ref_len=67703)
iter148000 - BLEU = 2.20, 42.0/10.6/3.4/1.2 (BP=0.336, ratio=0.478, hyp_len=32380, ref_len=67703)
iter149000 - BLEU = 2.04, 42.3/10.4/3.4/1.2 (BP=0.313, ratio=0.462, hyp_len=31303, ref_len=67703)
iter150000 - BLEU = 2.12, 41.6/10.4/3.3/1.1 (BP=0.333, ratio=0.476, hyp_len=32260, ref_len=67703)
iter151000 - BLEU = 2.13, 42.1/10.5/3.3/1.2 (BP=0.332, ratio=0.476, hyp_len=32209, ref_len=67703)
iter152000 - BLEU = 2.29, 41.4/10.2/3.3/1.2 (BP=0.358, ratio=0.493, hyp_len=33394, ref_len=67703)
iter153000 - BLEU = 1.93, 41.9/10.3/3.2/1.1 (BP=0.309, ratio=0.460, hyp_len=31115, ref_len=67703)
iter154000 - BLEU = 2.12, 41.8/10.4/3.3/1.2 (BP=0.330, ratio=0.474, hyp_len=32104, ref_len=67703)
iter155000 - BLEU = 2.12, 42.6/10.8/3.4/1.2 (BP=0.319, ratio=0.467, hyp_len=31607, ref_len=67703)
iter156000 - BLEU = 1.92, 42.4/10.6/3.5/1.1 (BP=0.296, ratio=0.451, hyp_len=30536, ref_len=67703)
iter157000 - BLEU = 2.10, 42.2/10.8/3.4/1.2 (BP=0.321, ratio=0.468, hyp_len=31679, ref_len=67703)
iter158000 - BLEU = 2.18, 42.2/10.4/3.2/1.0 (BP=0.353, ratio=0.490, hyp_len=33163, ref_len=67703)
iter159000 - BLEU = 2.16, 41.3/10.4/3.3/1.1 (BP=0.344, ratio=0.484, hyp_len=32747, ref_len=67703)
iter160000 - BLEU = 2.16, 42.0/10.5/3.5/1.3 (BP=0.322, ratio=0.469, hyp_len=31729, ref_len=67703)
iter161000 - BLEU = 2.25, 41.0/10.0/3.1/1.1 (BP=0.370, ratio=0.502, hyp_len=33956, ref_len=67703)
iter162000 - BLEU = 2.06, 41.2/10.3/3.3/1.1 (BP=0.330, ratio=0.475, hyp_len=32127, ref_len=67703)
iter163000 - BLEU = 2.06, 39.7/9.7/3.1/1.1 (BP=0.343, ratio=0.483, hyp_len=32721, ref_len=67703)
iter164000 - BLEU = 2.24, 40.5/9.9/3.1/1.1 (BP=0.366, ratio=0.499, hyp_len=33774, ref_len=67703)
iter165000 - BLEU = 2.00, 42.0/10.5/3.4/1.2 (BP=0.306, ratio=0.458, hyp_len=30987, ref_len=67703)
iter166000 - BLEU = 2.02, 41.4/10.3/3.4/1.2 (BP=0.316, ratio=0.465, hyp_len=31456, ref_len=67703)
iter167000 - BLEU = 2.16, 40.5/10.1/3.3/1.1 (BP=0.346, ratio=0.485, hyp_len=32853, ref_len=67703)
iter168000 - BLEU = 2.07, 41.5/10.1/3.4/1.2 (BP=0.321, ratio=0.468, hyp_len=31711, ref_len=67703)
iter169000 - BLEU = 2.25, 41.2/9.9/3.1/1.0 (BP=0.374, ratio=0.504, hyp_len=34142, ref_len=67703)
iter170000 - BLEU = 2.12, 41.7/10.4/3.4/1.2 (BP=0.327, ratio=0.473, hyp_len=31990, ref_len=67703)
iter171000 - BLEU = 1.98, 41.8/10.1/3.2/1.0 (BP=0.326, ratio=0.472, hyp_len=31943, ref_len=67703)
iter172000 - BLEU = 1.94, 40.8/10.2/3.3/1.1 (BP=0.313, ratio=0.463, hyp_len=31316, ref_len=67703)
iter173000 - BLEU = 2.17, 41.2/10.3/3.3/1.2 (BP=0.342, ratio=0.482, hyp_len=32655, ref_len=67703)
